"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"10:28:30.1048606 PM","Explorer.EXE","1688","QueryOpen","C:\Documents and Settings\reverser\Desktop\sysinternals\ProcessMonitor\Procmon.exe","SUCCESS","CreationTime: 12/15/2011 8:59:33 PM, LastAccessTime: 12/15/2011 10:27:19 PM, LastWriteTime: 4/11/2011 1:08:18 AM, ChangeTime: 12/15/2011 10:28:18 PM, AllocationSize: 3,022,848, EndOfFile: 3,022,712, FileAttributes: A"
"10:28:30.1051821 PM","Explorer.EXE","1688","CreateFile","C:\Documents and Settings\reverser\Desktop\sysinternals\ProcessMonitor\Procmon.exe","SUCCESS","Desired Access: Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"10:28:30.1054104 PM","Explorer.EXE","1688","CreateFileMapping","C:\Documents and Settings\reverser\Desktop\sysinternals\ProcessMonitor\Procmon.exe","SUCCESS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE"
"10:28:30.1054291 PM","Explorer.EXE","1688","QueryStandardInformationFile","C:\Documents and Settings\reverser\Desktop\sysinternals\ProcessMonitor\Procmon.exe","SUCCESS","AllocationSize: 3,022,848, EndOfFile: 3,022,712, NumberOfLinks: 1, DeletePending: False, Directory: False"
"10:28:30.1055045 PM","Explorer.EXE","1688","CreateFileMapping","C:\Documents and Settings\reverser\Desktop\sysinternals\ProcessMonitor\Procmon.exe","SUCCESS","SyncType: SyncTypeOther"
"10:28:30.1057529 PM","Explorer.EXE","1688","CloseFile","C:\Documents and Settings\reverser\Desktop\sysinternals\ProcessMonitor\Procmon.exe","SUCCESS",""
"10:28:30.2157602 PM","lsass.exe","700","RegOpenKey","HKLM\SECURITY\Policy","SUCCESS","Desired Access: Read/Write"
"10:28:30.2157850 PM","lsass.exe","700","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
"10:28:30.2158071 PM","lsass.exe","700","RegQueryValue","HKLM\SECURITY\Policy\SecDesc\(Default)","BUFFER OVERFLOW","Length: 12"
"10:28:30.2158420 PM","lsass.exe","700","RegCloseKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS",""
"10:28:30.2158537 PM","lsass.exe","700","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
"10:28:30.2158744 PM","lsass.exe","700","RegQueryValue","HKLM\SECURITY\Policy\SecDesc\(Default)","SUCCESS","Type: REG_NONE, Length: 180, Data: 01 00 04 80 98 00 00 00 A8 00 00 00 00 00 00 00"
"10:28:30.2159060 PM","lsass.exe","700","RegCloseKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS",""
"10:28:30.2161191 PM","lsass.exe","700","RegCloseKey","HKLM\SECURITY\Policy","SUCCESS",""
"10:28:30.2166511 PM","lsass.exe","700","RegOpenKey","HKLM\SECURITY\Policy","SUCCESS","Desired Access: Read/Write"
"10:28:30.2166809 PM","lsass.exe","700","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
"10:28:30.2167016 PM","lsass.exe","700","RegQueryValue","HKLM\SECURITY\Policy\SecDesc\(Default)","BUFFER OVERFLOW","Length: 12"
"10:28:30.2167337 PM","lsass.exe","700","RegCloseKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS",""
"10:28:30.2167449 PM","lsass.exe","700","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
"10:28:30.2167656 PM","lsass.exe","700","RegQueryValue","HKLM\SECURITY\Policy\SecDesc\(Default)","SUCCESS","Type: REG_NONE, Length: 180, Data: 01 00 04 80 98 00 00 00 A8 00 00 00 00 00 00 00"
"10:28:30.2167966 PM","lsass.exe","700","RegCloseKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS",""
"10:28:30.2170176 PM","lsass.exe","700","RegCloseKey","HKLM\SECURITY\Policy","SUCCESS",""
"10:28:30.2179026 PM","lsass.exe","700","RegOpenKey","HKLM\SECURITY\Policy","SUCCESS","Desired Access: Read/Write"
"10:28:30.2179244 PM","lsass.exe","700","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
"10:28:30.2179454 PM","lsass.exe","700","RegQueryValue","HKLM\SECURITY\Policy\SecDesc\(Default)","BUFFER OVERFLOW","Length: 12"
"10:28:30.2179769 PM","lsass.exe","700","RegCloseKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS",""
"10:28:30.2179881 PM","lsass.exe","700","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
"10:28:30.2180088 PM","lsass.exe","700","RegQueryValue","HKLM\SECURITY\Policy\SecDesc\(Default)","SUCCESS","Type: REG_NONE, Length: 180, Data: 01 00 04 80 98 00 00 00 A8 00 00 00 00 00 00 00"
"10:28:30.2180401 PM","lsass.exe","700","RegCloseKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS",""
"10:28:30.2182496 PM","lsass.exe","700","RegCloseKey","HKLM\SECURITY\Policy","SUCCESS",""
"10:28:30.2707169 PM","lsass.exe","700","RegOpenKey","HKLM\SECURITY\Policy","SUCCESS","Desired Access: Read/Write"
"10:28:30.2707484 PM","lsass.exe","700","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
"10:28:30.2707912 PM","lsass.exe","700","RegQueryValue","HKLM\SECURITY\Policy\SecDesc\(Default)","BUFFER OVERFLOW","Length: 12"
"10:28:30.2708392 PM","lsass.exe","700","RegCloseKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS",""
"10:28:30.2708543 PM","lsass.exe","700","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
"10:28:30.2708809 PM","lsass.exe","700","RegQueryValue","HKLM\SECURITY\Policy\SecDesc\(Default)","SUCCESS","Type: REG_NONE, Length: 180, Data: 01 00 04 80 98 00 00 00 A8 00 00 00 00 00 00 00"
"10:28:30.2709214 PM","lsass.exe","700","RegCloseKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS",""
"10:28:30.2712926 PM","lsass.exe","700","RegCloseKey","HKLM\SECURITY\Policy","SUCCESS",""
"10:28:30.2716192 PM","lsass.exe","700","RegOpenKey","HKLM\SECURITY\Policy","SUCCESS","Desired Access: Read/Write"
"10:28:30.2716472 PM","lsass.exe","700","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
"10:28:30.2716737 PM","lsass.exe","700","RegQueryValue","HKLM\SECURITY\Policy\SecDesc\(Default)","BUFFER OVERFLOW","Length: 12"
"10:28:30.2717139 PM","lsass.exe","700","RegCloseKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS",""
"10:28:30.2717282 PM","lsass.exe","700","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
"10:28:30.2717544 PM","lsass.exe","700","RegQueryValue","HKLM\SECURITY\Policy\SecDesc\(Default)","SUCCESS","Type: REG_NONE, Length: 180, Data: 01 00 04 80 98 00 00 00 A8 00 00 00 00 00 00 00"
"10:28:30.2717944 PM","lsass.exe","700","RegCloseKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS",""
"10:28:30.2721584 PM","lsass.exe","700","RegCloseKey","HKLM\SECURITY\Policy","SUCCESS",""
"10:28:30.2843175 PM","lsass.exe","700","RegOpenKey","HKLM\SECURITY\Policy","SUCCESS","Desired Access: Read/Write"
"10:28:30.2843404 PM","lsass.exe","700","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
"10:28:30.2843619 PM","lsass.exe","700","RegQueryValue","HKLM\SECURITY\Policy\SecDesc\(Default)","BUFFER OVERFLOW","Length: 12"
"10:28:30.2843960 PM","lsass.exe","700","RegCloseKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS",""
"10:28:30.2844072 PM","lsass.exe","700","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
"10:28:30.2844278 PM","lsass.exe","700","RegQueryValue","HKLM\SECURITY\Policy\SecDesc\(Default)","SUCCESS","Type: REG_NONE, Length: 180, Data: 01 00 04 80 98 00 00 00 A8 00 00 00 00 00 00 00"
"10:28:30.2844591 PM","lsass.exe","700","RegCloseKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS",""
"10:28:30.2847547 PM","lsass.exe","700","RegCloseKey","HKLM\SECURITY\Policy","SUCCESS",""
"10:28:30.2884968 PM","svchost.exe","972","RegOpenKey","HKLM\Software\Microsoft\COM3","SUCCESS","Desired Access: Read"
"10:28:30.2885353 PM","svchost.exe","972","RegQueryValue","HKLM\SOFTWARE\Microsoft\COM3\REGDBVersion","SUCCESS","Type: REG_BINARY, Length: 8, Data: 07 00 00 00 00 00 00 00"
